label,Facelandmark_pts,eye_side,eyelid,dpi
028_220329_1631_5_5_5.pts,68,left,143.82476702957362,96
028_220329_1631_5_5_5.pts,68,right,128.4593883079182,96
028_220329_1631_5_5_6.pts,68,left,142.1639507360739,96
028_220329_1631_5_5_6.pts,68,right,124.3962318561136,96
028_220329_1631_5_5_7.pts,68,left,186.91106025177976,96
028_220329_1631_5_5_7.pts,68,right,155.5486508388219,96
028_220329_1631_5_5_8.pts,68,left,162.8626423639803,96
028_220329_1631_5_5_8.pts,68,right,138.7125935562851,96
028_220329_1637_5_5_1.pts,68,left,142.58761536527484,96
028_220329_1637_5_5_1.pts,68,right,123.80964107137314,96
